SystemId,threshold,maxTPR
tromso-gw5,0.0002267129,1.0
teknobyen-gw1,0.0002164479,1.0
hoytek-gw2,3.658e-07,1.0
bergen-gw3,1.7105e-06,1.0
trd-gw,1.0217e-06,1.0
ifi2-gw5,4.74e-08,1.0
