Time, Deviation score, Value, Mean, Variance
2022-10-17 12:47:41.206000+00:00,2.162656543306685,796500840.0,501049517.7519204,136614999.3453592
2022-10-17 12:47:49.309000+00:00,2.464213218616214,837698005.0,501049517.7519204,136614999.3453592
2022-10-17 14:26:55.922000+00:00,2.004122797143726,587027526.0,313234291.38019043,136614999.3453592
2022-10-17 14:29:10.853000+00:00,2.1526679329570944,601811717.0,307724988.7482908,136614999.3453592
2022-10-17 14:29:14.890000+00:00,2.1254945770460396,598099429.0,307724988.7482908,136614999.3453592
2022-10-18 08:21:58.383000+00:00,2.237536891710062,876323118.0,570642017.0038128,136614999.3453592
2022-10-18 09:08:09.417000+00:00,2.0667658558485256,854853265.0,572502048.9562429,136614999.3453592
2022-10-18 12:28:00.885000+00:00,2.0041224784352583,799131360.0,525338168.92054754,136614999.3453592
2022-10-18 13:57:52.781000+00:00,2.132058149424468,649724312.0,358453189.3121085,136614999.3453592
2022-10-18 13:58:22.976000+00:00,2.4145234556985415,686476078.0,356615957.6803893,136614999.3453592
2022-10-18 13:59:43.699000+00:00,2.5021785682655278,696808495.0,354973371.53443307,136614999.3453592
2022-10-18 13:59:45.711000+00:00,2.30074381269793,669289486.0,354973371.53443307,136614999.3453592
2022-10-19 14:47:15.934000+00:00,2.000063780757266,576146068.0,302907355.9011695,136614999.3453592
2022-10-13 06:00:33.688000+00:00,2.3395918311154857,501345612.0,181722275.5237502,136614999.3453592
2022-10-13 06:00:35.699000+00:00,2.6797578467264107,547817392.0,181722275.5237502,136614999.3453592
2022-10-13 06:00:39.723000+00:00,2.478258420368326,520289548.0,181722275.5237502,136614999.3453592
2022-10-13 10:01:28.941000+00:00,2.309885453077855,814166633.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:30.950000+00:00,2.8285769974877417,885027678.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:32.961000+00:00,3.1978626487101507,935477637.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:34.974000+00:00,2.972744944597343,904723182.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:36.986000+00:00,2.277299631452616,809714921.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:38.996000+00:00,2.901728840608103,895021317.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:41.006000+00:00,2.039061010832913,777167952.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:43.015000+00:00,2.2441702970333517,805188957.0,498601633.3399141,136614999.3453592
2022-10-13 10:01:45.028000+00:00,2.0106010978026383,773279901.0,498601633.3399141,136614999.3453592
2022-10-13 10:02:31.442000+00:00,2.825858590525522,887923450.0,501868780.5052781,136614999.3453592
2022-10-13 10:02:33.461000+00:00,2.78134396893096,881842085.0,501868780.5052781,136614999.3453592
2022-10-13 10:02:35.478000+00:00,2.599321583986706,856975097.0,501868780.5052781,136614999.3453592
2022-10-13 10:02:37.491000+00:00,2.906937864785873,899000095.0,501868780.5052781,136614999.3453592
2022-10-13 10:02:39.501000+00:00,2.365470966169569,825027595.0,501868780.5052781,136614999.3453592
2022-10-13 10:02:43.523000+00:00,2.278891607704698,813199556.0,501868780.5052781,136614999.3453592
2022-10-13 10:02:45.536000+00:00,2.9372791524911954,903145170.0,501868780.5052781,136614999.3453592
2022-10-13 10:02:47.546000+00:00,2.321216945535155,818981832.0,501868780.5052781,136614999.3453592
2022-10-13 10:03:39.896000+00:00,2.060465079673329,786819688.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:41.907000+00:00,2.188231753052104,804274532.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:43.916000+00:00,2.255710090307706,813493085.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:45.931000+00:00,2.1695489143284603,801722176.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:47.944000+00:00,2.3868298728047694,831406014.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:49.957000+00:00,2.354550240106079,826996132.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:51.967000+00:00,2.1707188737089522,801882010.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:53.984000+00:00,2.1553630415525085,799784173.0,505329252.4892926,136614999.3453592
2022-10-13 10:03:56.023000+00:00,2.085004573989946,790172151.0,505329252.4892926,136614999.3453592
2022-10-13 10:04:24.232000+00:00,2.5371165871064907,855518802.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:26.248000+00:00,3.6658642190570396,1009722659.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:28.265000+00:00,3.887201115773331,1039960599.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:30.281000+00:00,4.905849973269573,1179123312.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:32.292000+00:00,5.041504243216539,1197655720.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:34.302000+00:00,5.093500832420061,1204759234.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:36.311000+00:00,4.594173933273702,1136543690.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:38.326000+00:00,4.910594174148728,1179771441.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:40.385000+00:00,5.1118656460351275,1207268143.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:42.396000+00:00,4.714690743864745,1153008094.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:44.411000+00:00,4.1079848301863455,1070122966.0,508910621.1133468,136614999.3453592
2022-10-13 10:04:46.428000+00:00,3.7943105103434003,1027270349.0,508910621.1133468,136614999.3453592
