Time, Deviation score, Value, Mean, Variance
2022-10-17 12:47:41.206000+00:00,5.129052156015516,689446.0,478537.73366350407,41120.32007495498
2022-10-17 12:47:49.309000+00:00,6.007109523618327,725552.0,478537.73366350407,41120.32007495498
2022-10-17 12:50:22.531000+00:00,5.771120796634846,621465.0,472572.8550291222,25799.51974973339
2022-10-17 12:50:24.545000+00:00,7.060602163835248,654733.0,472572.8550291222,25799.51974973339
2022-10-17 12:50:26.556000+00:00,5.933604441317546,625657.0,472572.8550291222,25799.51974973339
2022-10-17 12:50:28.572000+00:00,5.749686289118259,620912.0,472572.8550291222,25799.51974973339
2022-10-17 13:04:36.975000+00:00,5.248017480414197,650886.0,458031.62401170994,36748.0437532897
2022-10-17 13:07:26.370000+00:00,5.2299380623676255,631504.0,455441.8511124224,33664.28947876931
2022-10-17 13:07:28.380000+00:00,5.045231951046861,625286.0,455441.8511124224,33664.28947876931
2022-10-17 13:48:45.067000+00:00,5.098107165241924,486481.0,365312.2583966228,23767.397913775967
2022-10-17 14:00:54.522000+00:00,5.088331718581078,467935.0,341268.35973586305,24893.55004147783
2022-10-17 14:20:33.326000+00:00,5.646154433635816,479913.0,308422.9804900671,30372.888578519214
2022-10-17 14:20:35.337000+00:00,5.353492114837247,471024.0,308422.9804900671,30372.888578519214
2022-10-17 14:20:37.345000+00:00,5.4896332654989735,475159.0,308422.9804900671,30372.888578519214
2022-10-17 14:20:41.376000+00:00,5.659982555347527,480333.0,308422.9804900671,30372.888578519214
2022-10-17 14:21:17.601000+00:00,5.549436038854024,465577.0,306401.65392883593,28683.15716348616
2022-10-17 14:21:19.614000+00:00,5.748681887817793,471292.0,306401.65392883593,28683.15716348616
2022-10-17 14:21:21.626000+00:00,5.715421950825416,470338.0,306401.65392883593,28683.15716348616
2022-10-17 14:21:23.636000+00:00,5.749658070454886,471320.0,306401.65392883593,28683.15716348616
2022-10-17 14:21:25.646000+00:00,5.965220114924349,477503.0,306401.65392883593,28683.15716348616
2022-10-17 14:26:21.703000+00:00,5.104891724355135,426208.0,298131.723104544,25088.931129412933
2022-10-17 14:26:41.828000+00:00,5.760200629911715,442649.0,298131.723104544,25088.931129412933
2022-10-17 14:26:45.853000+00:00,5.778375975750399,443105.0,298131.723104544,25088.931129412933
2022-10-17 14:26:47.867000+00:00,5.949327857991879,447394.0,298131.723104544,25088.931129412933
2022-10-17 14:26:55.922000+00:00,8.42460269850491,509496.0,298131.723104544,25088.931129412933
2022-10-17 14:26:57.933000+00:00,8.228659715735239,504580.0,298131.723104544,25088.931129412933
2022-10-17 14:26:59.944000+00:00,6.0822550035445335,450729.0,298131.723104544,25088.931129412933
2022-10-17 14:29:10.853000+00:00,6.168126270092123,497769.0,294745.46146627,32914.94525949415
2022-10-17 14:29:12.872000+00:00,5.553208036431628,477529.0,294745.46146627,32914.94525949415
2022-10-17 14:29:14.890000+00:00,6.121156725169241,496223.0,294745.46146627,32914.94525949415
2022-10-17 14:48:05.107000+00:00,5.201899407461895,384126.0,268010.9776362596,22321.658545949304
2022-10-17 14:48:07.121000+00:00,5.962013176117271,401093.0,268010.9776362596,22321.658545949304
2022-10-17 14:48:23.286000+00:00,6.109762053881485,404391.0,268010.9776362596,22321.658545949304
2022-10-17 14:48:25.313000+00:00,5.1222458281214545,382348.0,268010.9776362596,22321.658545949304
2022-10-17 16:33:44.418000+00:00,5.049726192580894,257312.0,171846.1937813898,16924.839676293217
2022-10-17 16:38:00.255000+00:00,5.136851524700049,254318.0,172668.02315837514,15894.945853314803
2022-10-17 16:39:57.030000+00:00,5.618547213028329,253456.0,172515.5213366626,14405.944382856125
2022-10-17 16:39:59.040000+00:00,6.0376797488435825,259494.0,172515.5213366626,14405.944382856125
2022-10-17 16:45:35.606000+00:00,5.294587026093059,253653.0,168929.65229259236,16001.880276945043
2022-10-17 17:22:56.552000+00:00,6.286558252254274,239544.0,147573.32826140712,14629.733480257413
2022-10-17 17:37:43.430000+00:00,6.010396635417341,243158.0,144686.91785686646,16383.45821686293
2022-10-17 17:37:45.442000+00:00,6.144617382398381,245357.0,144686.91785686646,16383.45821686293
2022-10-17 17:37:47.498000+00:00,5.153800926853487,229124.0,144686.91785686646,16383.45821686293
2022-10-17 17:38:37.842000+00:00,5.480473308839293,243316.0,144512.40730410515,18028.295573766864
2022-10-17 17:39:10.057000+00:00,6.2014951666086695,243457.0,144226.53903460747,16001.054310207162
2022-10-17 17:40:02.457000+00:00,5.84793889421434,225793.0,143823.79431705334,14016.768500102304
2022-10-17 17:40:16.543000+00:00,5.127373380135522,215693.0,143823.79431705334,14016.768500102304
2022-10-17 17:40:18.552000+00:00,5.655526499019234,223096.0,143823.79431705334,14016.768500102304
2022-10-17 17:40:26.643000+00:00,5.824181635185801,225460.0,143823.79431705334,14016.768500102304
2022-10-17 17:40:38.708000+00:00,5.4807358545149665,220646.0,143823.79431705334,14016.768500102304
2022-10-17 17:40:40.720000+00:00,6.164702347928197,230233.0,143823.79431705334,14016.768500102304
2022-10-17 17:48:48.285000+00:00,5.472774422596265,238356.0,137550.9480158012,18419.369080514236
2022-10-17 17:50:20.974000+00:00,5.2972611511657774,218834.0,135929.48118148505,15650.449629101258
2022-10-17 17:50:29.034000+00:00,5.094711059946319,215664.0,135929.48118148505,15650.449629101258
2022-10-17 17:50:41.100000+00:00,5.259306970035065,218240.0,135929.48118148505,15650.449629101258
2022-10-17 17:50:45.128000+00:00,6.672493205839722,240357.0,135929.48118148505,15650.449629101258
