Time, Deviation score, Value, Mean, Variance
2022-09-21 11:03:33.141000+00:00,5.8201810113080485,713338.0,541813.1314282136,29470.710316144847
2022-09-21 11:03:55.301000+00:00,5.143068047761048,693383.0,541813.1314282136,29470.710316144847
2022-09-21 11:05:19.974000+00:00,5.171163654880825,712788.0,546216.1222263017,32211.681720124776
2022-09-21 13:32:38.374000+00:00,5.268844719821066,596122.0,426672.7393266994,32160.610092729246
2022-09-21 21:21:35.379000+00:00,5.188011265965196,181687.0,103514.1220536841,15067.98538760928
2022-09-21 21:21:39.408000+00:00,7.570546095705695,217587.0,103514.1220536841,15067.98538760928
2022-09-21 21:21:43.428000+00:00,5.802492881245622,190946.0,103514.1220536841,15067.98538760928
2022-09-21 21:21:45.441000+00:00,8.60333180658095,233149.0,103514.1220536841,15067.98538760928
2022-09-21 21:21:53.541000+00:00,6.63558368118246,203499.0,103514.1220536841,15067.98538760928
2022-09-21 22:13:59.014000+00:00,5.975235891354933,187521.0,92912.67991238795,15833.403368140309
2022-09-21 22:14:01.027000+00:00,8.304212449663456,189432.0,92047.60352981984,11727.10802625562
2022-09-21 22:40:25.180000+00:00,7.043556366973978,136885.0,81064.8768180208,7924.99133586978
