Time, Deviation score, Value, Mean, Variance
2022-10-18 13:58:22.976000+00:00,10.746465298341514,686476078.0,356615957.6803893,30694755.081051398
2022-10-18 13:59:43.699000+00:00,10.299046343822956,696808495.0,354973371.53443307,33190949.14749936
2022-10-19 01:12:57.748000+00:00,10.896642279211164,165800406.0,39172575.34038907,11620811.935911126
2022-10-19 02:01:56.771000+00:00,10.336797694298054,184775270.0,47844812.513329044,13246893.432209091
2022-10-19 02:49:57.225000+00:00,13.315834426196192,149312165.0,35768133.46487277,8526993.344987264
2022-10-19 02:49:59.242000+00:00,11.446456985040957,133371996.0,35768133.46487277,8526993.344987264
2022-10-13 01:03:57.604000+00:00,10.520478542826401,188347133.0,33223862.093616,14744887.342806082
2022-10-13 03:24:13.130000+00:00,10.620581852029389,126123905.0,20981441.297547173,9899877.91322018
2022-10-13 03:24:15.139000+00:00,17.03149161842627,189591129.0,20981441.297547173,9899877.91322018
2022-10-13 03:36:44.922000+00:00,11.055572181254297,143688346.0,24241308.936175358,10804238.361028269
2022-10-13 03:37:01.064000+00:00,10.768819932518676,86884471.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:03.079000+00:00,10.150358947780074,83287323.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:05.091000+00:00,12.690224705981727,98059917.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:09.113000+00:00,12.893463565271244,99242013.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:11.128000+00:00,12.679318611585577,97996484.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:13.138000+00:00,13.279871958849593,101489476.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:15.177000+00:00,11.051453570370416,88528350.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:17.188000+00:00,10.997481701966556,88214434.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:19.202000+00:00,10.67441953857309,86335411.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:21.214000+00:00,10.873512627456439,87493394.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:23.228000+00:00,10.998257798164186,88218948.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:25.237000+00:00,10.783562665516975,86970219.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:29.258000+00:00,11.348436219401098,90255687.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:31.270000+00:00,12.570743888281338,97364982.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:33.283000+00:00,13.836545095311887,104727248.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:35.293000+00:00,11.211283997317736,89457970.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:37.334000+00:00,10.925610792634386,87796412.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:39.346000+00:00,15.044174849152736,111751172.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:41.358000+00:00,12.357607137542704,96125317.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:43.371000+00:00,11.846354025250752,93151721.0,24249898.992208347,5816289.287060472
2022-10-13 03:37:45.384000+00:00,11.04418708173581,88486086.0,24249898.992208347,5816289.287060472
2022-10-13 03:38:47.821000+00:00,26.054090380908804,193890996.0,24072869.410999555,6517906.559249332
2022-10-13 03:38:49.834000+00:00,10.008050437058301,89304407.0,24072869.410999555,6517906.559249332
2022-10-13 03:42:09.334000+00:00,10.722942715599407,82427285.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:13.359000+00:00,11.183773429121585,85042374.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:15.372000+00:00,11.038852829348523,84219989.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:17.384000+00:00,12.003217271527891,89692495.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:19.394000+00:00,11.877057041960803,88976570.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:21.411000+00:00,10.914653046132567,83515189.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:27.455000+00:00,10.799605595693125,82862326.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:29.464000+00:00,11.548501564642173,87112107.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:31.479000+00:00,10.382151938410955,80493390.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:35.504000+00:00,10.214437471215644,79541656.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:37.515000+00:00,11.304828215840583,85729327.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:39.535000+00:00,11.19680577158432,85116329.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:41.544000+00:00,13.323346424180627,97183869.0,21577500.64237686,5674728.10137284
2022-10-13 03:42:43.596000+00:00,10.250216454168305,79744692.0,21577500.64237686,5674728.10137284
