SystemId,threshold,maxTPR
stangnes-gw,1.7e-05,0.9527027027027029
rodbergvn-gw2,2e-06,0.9527027027027029
narvik-gw4,3.8e-05,0.9527027027027029
tromso-fh-gw,0.000251,0.9527027027027029
tromso-gw5,1.1e-05,0.9527027027027029
teknobyen-gw1,0.000675,0.9527027027027029
narvik-gw3,1.5e-05,0.9527027027027029
hovedbygget-gw,5e-06,0.9527027027027029
hoytek-gw2,1.1e-05,0.9527027027027029
teknobyen-gw2,0.000177,0.9527027027027029
ma2-gw,3.8e-05,0.9527027027027029
bergen-gw3,4.6e-05,0.9527027027027029
narvik-kv-gw,3.5e-05,0.9527027027027029
trd-gw,5.5e-05,0.9527027027027029
ifi2-gw5,8.1e-05,0.9527027027027029
oslo-gw1,3.6e-05,0.9527027027027029
