SystemId,threshold,maxTPR
stangnes-gw,35252462.333343,0.9527027027027029
rodbergvn-gw2,28617626.77777,0.9527027027027029
narvik-gw4,187415089.333328,0.9527027027027029
tromso-fh-gw,261849636.666687,0.945945945945946
tromso-gw5,173122171.888885,0.945945945945946
teknobyen-gw1,583692.0,0.9527027027027029
narvik-gw3,176651606.333343,0.9527027027027029
hovedbygget-gw,58902488.333251,0.9527027027027029
hoytek-gw2,361970076.333332,0.9527027027027029
teknobyen-gw2,176774898.666656,0.9527027027027029
ma2-gw,1194712811.0,0.945945945945946
bergen-gw3,213425622.555542,0.945945945945946
narvik-kv-gw,59479978.333312,0.9527027027027029
trd-gw,492582326.777832,0.9527027027027029
ifi2-gw5,205312354.666656,0.9527027027027029
oslo-gw1,548083011.555664,0.945945945945946
