SystemId,threshold,maxTPR
stangnes-gw,0.003909,0.9864864864864864
rodbergvn-gw2,0.000492,0.9864864864864864
narvik-gw4,0.001019,0.9864864864864864
tromso-fh-gw,0.005006,0.9864864864864864
tromso-gw5,0.003075,0.9864864864864864
teknobyen-gw1,0.007359,0.9864864864864864
narvik-gw3,0.002195,0.9864864864864864
hovedbygget-gw,0.011427,0.9864864864864864
hoytek-gw2,0.004393,0.9864864864864864
teknobyen-gw2,0.000536,0.9864864864864864
ma2-gw,0.00021,0.9864864864864864
bergen-gw3,0.006869,0.9864864864864864
narvik-kv-gw,0.004542,0.9864864864864864
trd-gw,0.000589,0.9864864864864864
ifi2-gw5,0.000639,0.9864864864864864
oslo-gw1,0.003209,0.9864864864864864
