SystemId,threshold,maxTPR
stangnes-gw,0.00525,0.9315068493150684
rodbergvn-gw2,0.002327,0.9315068493150684
narvik-gw4,0.009417,0.9315068493150684
tromso-fh-gw,0.004007,0.9315068493150684
tromso-gw5,0.004522,0.9315068493150684
teknobyen-gw1,0.002391,0.9315068493150684
narvik-gw3,0.002355,0.9315068493150684
hovedbygget-gw,0.001332,0.9315068493150684
hoytek-gw2,0.002346,0.9315068493150684
teknobyen-gw2,0.008966,0.9315068493150684
ma2-gw,0.006116,0.9315068493150684
bergen-gw3,0.003712,0.9315068493150684
narvik-kv-gw,0.007481,0.9315068493150684
trd-gw,0.002988,0.9315068493150684
ifi2-gw5,0.002708,0.9315068493150684
oslo-gw1,0.000822,0.9315068493150684
