SystemId,threshold,maxTPR
stangnes-gw,1e-06,0.9527027027027029
rodbergvn-gw2,1.1e-05,0.9527027027027029
narvik-gw4,9e-06,0.9527027027027029
tromso-fh-gw,0.00015,0.9527027027027029
tromso-gw5,0.0,0.9527027027027029
teknobyen-gw1,0.000215,0.9527027027027029
narvik-gw3,5.9e-05,0.9527027027027029
hovedbygget-gw,1e-06,0.9527027027027029
hoytek-gw2,1.8e-05,0.9527027027027029
teknobyen-gw2,0.000181,0.9527027027027029
ma2-gw,4e-06,0.9527027027027029
bergen-gw3,2.3e-05,0.9527027027027029
narvik-kv-gw,2e-06,0.9527027027027029
trd-gw,1.3e-05,0.9527027027027029
ifi2-gw5,6e-06,0.9527027027027029
oslo-gw1,1.5e-05,0.9527027027027029
