SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.140173,1.0,0.2420405883448147,5373
rodbergvn-gw2,0.164016,1.0,0.2422209800633501,5372
narvik-gw4,-0.262025,1.0,0.2420818670124097,5400
tromso-fh-gw,1.094095,1.0,0.2424185698240359,5352
tromso-gw5,0.334367,1.0,0.2431924882629108,5350
teknobyen-gw1,-0.014982,1.0,0.2415101498766837,5274
narvik-gw3,0.239589,1.0,0.2432230323424939,5372
hovedbygget-gw,0.838803,1.0,0.242037037037037,5400
hoytek-gw2,-0.62428,1.0,0.2421267135976287,5400
teknobyen-gw2,2.390413,1.0,0.2420776298518657,5338
ma2-gw,0.449653,1.0,0.2420818670124097,5400
bergen-gw3,0.040539,1.0,0.2425760950259836,5399
narvik-kv-gw,0.026637,1.0,0.2419535928143712,5346
trd-gw,3.105366,1.0,0.2421267135976287,5400
ifi2-gw5,-0.088674,1.0,0.2430256506272233,5346
oslo-gw1,3.727557,1.0,0.242037037037037,5400
