SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.140212,1.0,0.2420405883448147,5373
rodbergvn-gw2,0.166077,1.0,0.2422209800633501,5372
narvik-gw4,-0.265649,1.0,0.2421267135976287,5400
tromso-fh-gw,1.062354,1.0,0.2424185698240359,5352
tromso-gw5,0.330399,1.0,0.2429643527204502,5350
teknobyen-gw1,-0.013808,1.0,0.2415101498766837,5274
narvik-gw3,0.241207,1.0,0.2432230323424939,5372
hovedbygget-gw,0.881207,1.0,0.242037037037037,5400
hoytek-gw2,-0.708622,1.0,0.2421267135976287,5400
teknobyen-gw2,1.929405,1.0,0.2419868791002811,5338
ma2-gw,0.428649,1.0,0.2423511959948081,5400
bergen-gw3,0.843077,1.0,0.2421267135976287,5399
narvik-kv-gw,0.422868,1.0,0.2419988770353733,5346
trd-gw,3.300064,1.0,0.242711234911792,5400
ifi2-gw5,-0.091988,1.0,0.2429801572444777,5346
oslo-gw1,8.551712,1.0,0.2424860853432282,5400
