SystemId,threshold,maxTPR,PPV,total
stangnes-gw,2.158695,1.0,0.2425825713752565,5373
rodbergvn-gw2,3.168497,1.0,0.2427184466019417,5372
narvik-gw4,-3.420086,1.0,0.2421267135976287,5400
tromso-fh-gw,3.959698,1.0,0.2479892761394102,5352
tromso-gw5,3.739482,1.0,0.2517496111975116,5350
teknobyen-gw1,-0.139112,1.0,0.2414643399089529,5274
narvik-gw3,2.61095,1.0,0.2434961632041924,5372
hovedbygget-gw,4.067115,1.0,0.2421267135976287,5400
hoytek-gw2,-2.443121,1.0,0.2420818670124097,5400
teknobyen-gw2,3.860938,1.0,0.2421230307576894,5338
ma2-gw,3.74622,1.0,0.2423961424332344,5400
bergen-gw3,0.106859,1.0,0.242801411852127,5399
narvik-kv-gw,0.704053,1.0,0.2419535928143712,5346
trd-gw,7.833802,1.0,0.2438432835820895,5400
ifi2-gw5,-0.197082,1.0,0.2429346808908852,5346
oslo-gw1,8.134525,1.0,0.242037037037037,5400
