SystemId,PPV,total
stangnes-gw,0.5942028985507246,240
rodbergvn-gw2,0.6262626262626263,240
narvik-gw4,0.7102803738317757,240
tromso-fh-gw,0.5416666666666666,240
tromso-gw5,0.5789473684210527,240
teknobyen-gw1,0.4,240
narvik-gw3,0.6186440677966102,240
hovedbygget-gw,0.7,240
hoytek-gw2,0.6240601503759399,240
teknobyen-gw2,0.7297297297297297,240
ma2-gw,0.6434782608695652,240
bergen-gw3,0.7047619047619048,240
narvik-kv-gw,0.5886524822695035,240
trd-gw,0.6831683168316832,240
ifi2-gw5,0.6086956521739131,240
oslo-gw1,0.5882352941176471,240
