SystemId,PPV,total
stangnes-gw,0.504950495049505,240
rodbergvn-gw2,0.6396396396396397,240
narvik-gw4,0.6410256410256411,240
tromso-fh-gw,0.6607142857142857,240
tromso-gw5,0.5357142857142857,240
teknobyen-gw1,0.43564356435643564,240
narvik-gw3,0.5714285714285714,240
hovedbygget-gw,0.6065573770491803,240
hoytek-gw2,0.5816993464052288,240
teknobyen-gw2,0.7433628318584071,240
ma2-gw,0.6031746031746031,240
bergen-gw3,0.55,240
narvik-kv-gw,0.7142857142857143,240
trd-gw,0.6,240
ifi2-gw5,0.5859872611464968,240
oslo-gw1,0.5384615384615384,240
