SystemId,threshold,maxTPR
stangnes-gw,24923539.111083,0.975
rodbergvn-gw2,621025256.111114,0.975
narvik-gw4,4939599505.555557,0.975
tromso-fh-gw,62831223.333374,0.975
tromso-gw5,916497281.0,0.975
teknobyen-gw1,254547.111111,0.975
narvik-gw3,455255631.888916,0.95
hovedbygget-gw,322900794.666748,0.975
hoytek-gw2,11127985438.444445,0.95
teknobyen-gw2,341971638.777832,0.975
ma2-gw,1948083966.222168,0.975
bergen-gw3,271163254.222167,0.975
narvik-kv-gw,671118036.888916,0.975
trd-gw,3145028578.0,0.975
ifi2-gw5,5721409371.777771,0.95
oslo-gw1,4180013772.222656,0.975
