SystemId,threshold,maxTPR,PPV,total
stangnes-gw,2.3e-05,0.975,0.2321428571428571,171
rodbergvn-gw2,3e-05,0.975,0.2321428571428571,171
narvik-gw4,0.000127,0.975,0.2321428571428571,171
tromso-fh-gw,1.9e-05,0.975,0.2294117647058823,171
tromso-gw5,4e-06,0.975,0.2294117647058823,171
teknobyen-gw1,2.5e-05,0.975,0.2335329341317365,171
narvik-gw3,7.9e-05,0.975,0.2321428571428571,171
hovedbygget-gw,3e-06,0.975,0.2294117647058823,171
hoytek-gw2,5.3e-05,0.975,0.2321428571428571,171
teknobyen-gw2,0.001647,0.975,0.25,171
ma2-gw,5.9e-05,0.975,0.2294117647058823,171
bergen-gw3,0.000357,0.975,0.2452830188679245,171
narvik-kv-gw,1e-05,0.975,0.2307692307692307,171
trd-gw,6.4e-05,0.975,0.2307692307692307,171
ifi2-gw5,3.8e-05,0.975,0.2294117647058823,171
oslo-gw1,4.3e-05,0.975,0.2307692307692307,171
