SystemId,threshold,maxTPR
stangnes-gw,145647881.111114,0.975
rodbergvn-gw2,541248983.111114,0.975
narvik-gw4,7875663566.444443,0.975
tromso-fh-gw,429911536.666687,0.95
tromso-gw5,618710987.111114,0.975
teknobyen-gw1,188682.0,0.975
narvik-gw3,345903315.666656,0.975
hovedbygget-gw,688753770.777832,0.975
hoytek-gw2,1518403125.888885,0.975
teknobyen-gw2,77348077.222229,0.975
ma2-gw,785044501.666626,0.975
bergen-gw3,374318702.333374,0.975
narvik-kv-gw,298485825.111084,0.975
trd-gw,1754144903.777832,0.975
ifi2-gw5,257714617.333313,0.95
oslo-gw1,72157203.111328,0.975
