SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.018045,0.975,0.2363636363636363,171
rodbergvn-gw2,0.016259,0.975,0.2363636363636363,171
narvik-gw4,0.002499,0.975,0.2335329341317365,171
tromso-fh-gw,0.003462,0.975,0.2307692307692307,171
tromso-gw5,0.004644,0.975,0.2335329341317365,171
teknobyen-gw1,0.00182,0.975,0.2307692307692307,171
narvik-gw3,0.003881,0.975,0.2321428571428571,171
hovedbygget-gw,0.002479,0.975,0.2307692307692307,171
hoytek-gw2,0.001128,0.975,0.2307692307692307,171
teknobyen-gw2,0.014969,0.975,0.24375,171
ma2-gw,0.000607,0.975,0.2307692307692307,171
bergen-gw3,0.002459,0.975,0.2307692307692307,171
narvik-kv-gw,0.000212,0.975,0.2294117647058823,171
trd-gw,0.003909,0.975,0.2294117647058823,171
ifi2-gw5,0.002743,0.975,0.2307692307692307,171
oslo-gw1,0.000232,0.975,0.2294117647058823,171
