SystemId,threshold,maxTPR,PPV,total
stangnes-gw,58172.666666,0.975,0.2294117647058823,171
rodbergvn-gw2,83427.888888,0.975,0.2307692307692307,171
narvik-gw4,693049.111111,0.975,0.2335329341317365,171
tromso-fh-gw,70159.333333,0.975,0.2294117647058823,171
tromso-gw5,255233.111111,0.975,0.2407407407407407,171
teknobyen-gw1,1517.888888,0.975,0.2468354430379747,171
narvik-gw3,630381.666666,0.975,0.2349397590361445,171
hovedbygget-gw,88477.333333,0.975,0.2294117647058823,171
hoytek-gw2,2396221.555555,0.975,0.2516129032258064,171
teknobyen-gw2,229527.222222,0.975,0.2307692307692307,171
ma2-gw,1122331.333333,0.975,0.2392638036809816,171
bergen-gw3,2350705.777777,0.975,0.26,171
narvik-kv-gw,35007.222222,0.975,0.2294117647058823,171
trd-gw,865684.666666,0.975,0.2307692307692307,171
ifi2-gw5,475143.333333,0.975,0.2294117647058823,171
oslo-gw1,293760.777777,0.975,0.2294117647058823,171
