SystemId,threshold,maxTPR
stangnes-gw,116268.888888,0.975
rodbergvn-gw2,166999.555555,0.975
narvik-gw4,1801968.444444,0.975
tromso-fh-gw,140383.222222,0.975
tromso-gw5,510540.888888,0.975
teknobyen-gw1,2208.555555,0.975
narvik-gw3,1260736.777777,0.975
hovedbygget-gw,139597.111111,0.975
hoytek-gw2,22052018.111111,0.975
teknobyen-gw2,459563.777777,0.975
ma2-gw,2230292.444444,0.975
bergen-gw3,4393783.555555,0.975
narvik-kv-gw,53051.111111,0.975
trd-gw,2072832.888888,0.975
ifi2-gw5,80201.222222,0.975
oslo-gw1,3483962.888889,0.95
