Time,egress_stats__if_1sec_pkts
2022-10-01T22:00:00Z,2935642178
2022-10-01T22:30:00Z,2543859437
2022-10-01T23:00:00Z,2782938366
2022-10-01T23:30:00Z,2802262939
2022-10-02T00:00:00Z,2514468760
2022-10-02T00:30:00Z,2112506415
2022-10-02T01:00:00Z,1978277278
2022-10-02T01:30:00Z,2008939927
2022-10-02T02:00:00Z,2481240038
2022-10-02T02:30:00Z,3362556971
2022-10-02T03:00:00Z,2414256621
2022-10-02T03:30:00Z,2292970194
2022-10-02T04:00:00Z,1819640256
2022-10-02T04:30:00Z,1763140211
2022-10-02T05:00:00Z,1728246207
2022-10-02T05:30:00Z,2015707815
2022-10-02T06:00:00Z,2116249359
2022-10-02T06:30:00Z,2437086854
2022-10-02T07:00:00Z,2530607101
2022-10-02T07:30:00Z,2867863694
2022-10-02T08:00:00Z,2432053763
2022-10-02T08:30:00Z,2394263250
2022-10-02T09:00:00Z,2349508205
2022-10-02T09:30:00Z,3400536240
2022-10-02T10:00:00Z,3336545338
2022-10-02T10:30:00Z,3499825590
2022-10-02T11:00:00Z,3740269695
2022-10-02T11:30:00Z,3516083223
2022-10-02T12:00:00Z,4393858258
2022-10-02T12:30:00Z,3780245331
2022-10-02T13:00:00Z,3830936022
2022-10-02T13:30:00Z,3886594855
2022-10-02T14:00:00Z,3893439593
2022-10-02T14:30:00Z,4440838585
2022-10-02T15:00:00Z,5248221428
2022-10-02T15:30:00Z,3742799770
2022-10-02T16:00:00Z,3346038674
2022-10-02T16:30:00Z,3375053479
2022-10-02T17:00:00Z,3562244383
2022-10-02T17:30:00Z,3576021372
2022-10-02T18:00:00Z,3474561480
2022-10-02T18:30:00Z,3172920879
2022-10-02T19:00:00Z,3400361078
2022-10-02T19:30:00Z,4334557690
2022-10-02T20:00:00Z,5208252318
2022-10-02T20:30:00Z,4652179365
2022-10-02T21:00:00Z,4696263340
2022-10-02T21:30:00Z,5103320673
2022-10-02T22:00:00Z,4661675641
2022-10-02T22:30:00Z,4232781698
2022-10-02T23:00:00Z,3879614900
2022-10-02T23:30:00Z,3582982008
2022-10-03T00:00:00Z,3251574757
2022-10-03T00:30:00Z,3302617172
2022-10-03T01:00:00Z,3193337003
2022-10-03T01:30:00Z,2955298535
2022-10-03T02:00:00Z,2571738827
2022-10-03T02:30:00Z,3156941503
2022-10-03T03:00:00Z,3461923445
2022-10-03T03:30:00Z,3593342863
2022-10-03T04:00:00Z,3530175502
2022-10-03T04:30:00Z,3395929266
2022-10-03T05:00:00Z,3152297529
2022-10-03T05:30:00Z,2657989550
2022-10-03T06:00:00Z,3016867528
2022-10-03T06:30:00Z,4493878664
2022-10-03T07:00:00Z,6073643181
2022-10-03T07:30:00Z,7180245135
2022-10-03T08:00:00Z,7527188285
2022-10-03T08:30:00Z,7562186975
2022-10-03T09:00:00Z,7808853989
2022-10-03T09:30:00Z,7436044766
2022-10-03T10:00:00Z,6776017891
2022-10-03T10:30:00Z,7179223109
2022-10-03T11:00:00Z,7379876203
2022-10-03T11:30:00Z,7810428825
2022-10-03T12:00:00Z,7373658394
2022-10-03T12:30:00Z,7469710408
2022-10-03T13:00:00Z,7053877700
2022-10-03T13:30:00Z,6821157222
2022-10-03T14:00:00Z,5768975889
2022-10-03T14:30:00Z,5083801132
2022-10-03T15:00:00Z,4744726762
2022-10-03T15:30:00Z,4635458985
2022-10-03T16:00:00Z,4678339110
2022-10-03T16:30:00Z,4410201096
2022-10-03T17:00:00Z,4370060038
2022-10-03T17:30:00Z,4326266132
2022-10-03T18:00:00Z,4406642349
2022-10-03T18:30:00Z,4451173400
2022-10-03T19:00:00Z,4549501833
2022-10-03T19:30:00Z,4676254466
2022-10-03T20:00:00Z,4687566337
2022-10-03T20:30:00Z,4544385185
2022-10-03T21:00:00Z,3882752386
2022-10-03T21:30:00Z,4322098964
2022-10-03T22:00:00Z,3739335782
2022-10-03T22:30:00Z,3368326626
2022-10-03T23:00:00Z,4121645841
2022-10-03T23:30:00Z,3510810256
2022-10-04T00:00:00Z,2995076687
2022-10-04T00:30:00Z,2761056553
2022-10-04T01:00:00Z,2432746018
2022-10-04T01:30:00Z,2092803626
2022-10-04T02:00:00Z,2183478388
2022-10-04T02:30:00Z,2701750205
2022-10-04T03:00:00Z,2764055776
