Time,egress_stats__if_1sec_pkts
2023-02-09T00:30:00Z,2718180481
2023-02-09T01:00:00Z,3028347682
2023-02-09T01:30:00Z,2529336015
2023-02-09T02:00:00Z,2296089685
2023-02-09T02:30:00Z,2129300105
2023-02-09T03:00:00Z,1961724853
2023-02-09T03:30:00Z,1884054836
2023-02-09T04:00:00Z,1821199612
2023-02-09T04:30:00Z,1843976433
2023-02-09T05:00:00Z,1940389219
2023-02-09T05:30:00Z,1941320340
2023-02-09T06:00:00Z,2015857534
2023-02-09T06:30:00Z,2140301895
2023-02-09T07:00:00Z,2754244920
2023-02-09T07:30:00Z,3887749904
2023-02-09T08:00:00Z,5521491282
2023-02-09T08:30:00Z,7122663284
2023-02-09T09:00:00Z,7220384125
2023-02-09T09:30:00Z,8059242650
2023-02-09T10:00:00Z,7998898979
2023-02-09T10:30:00Z,7991227319
2023-02-09T11:00:00Z,7466434182
2023-02-09T11:30:00Z,7683412136
2023-02-09T12:00:00Z,7946002218
2023-02-09T12:30:00Z,8485294063
2023-02-09T13:00:00Z,8180732141
2023-02-09T13:30:00Z,7615290888
2023-02-09T14:00:00Z,7425475663
2023-02-09T14:30:00Z,7221811587
2023-02-09T15:00:00Z,6768243778
2023-02-09T15:30:00Z,5704855167
2023-02-09T16:00:00Z,5584479467
2023-02-09T16:30:00Z,5097348302
2023-02-09T17:00:00Z,4802778660
2023-02-09T17:30:00Z,4641424530
2023-02-09T18:00:00Z,4446299857
2023-02-09T18:30:00Z,4049052248
2023-02-09T19:00:00Z,4230853453
2023-02-09T19:30:00Z,4569310787
2023-02-09T20:00:00Z,4244970916
2023-02-09T20:30:00Z,4177128081
2023-02-09T21:00:00Z,4221908492
2023-02-09T21:30:00Z,4344580813
2023-02-09T22:00:00Z,4239418279
2023-02-09T22:30:00Z,3652728702
2023-02-09T23:00:00Z,3452874533
2023-02-09T23:30:00Z,3508115530
2023-02-10T00:00:00Z,3295000280
2023-02-10T00:30:00Z,2897101707
2023-02-10T01:00:00Z,2917894782
2023-02-10T01:30:00Z,2586791859
2023-02-10T02:00:00Z,2673650587
2023-02-10T02:30:00Z,2553754275
2023-02-10T03:00:00Z,2503378336
2023-02-10T03:30:00Z,2353656875
2023-02-10T04:00:00Z,2381046083
2023-02-10T04:30:00Z,2483351040
2023-02-10T05:00:00Z,2473768326
2023-02-10T05:30:00Z,2409920863
2023-02-10T06:00:00Z,2710954474
2023-02-10T06:30:00Z,3158588650
2023-02-10T07:00:00Z,3694570979
2023-02-10T07:30:00Z,4774378263
2023-02-10T08:00:00Z,5971684787
2023-02-10T08:30:00Z,7122047806
2023-02-10T09:00:00Z,6770845695
2023-02-10T09:30:00Z,7562566769
2023-02-10T10:00:00Z,8078463357
2023-02-10T10:30:00Z,7957131276
2023-02-10T11:00:00Z,7108664668
2023-02-10T11:30:00Z,7513581680
2023-02-10T12:00:00Z,7725851062
2023-02-10T12:30:00Z,7779465327
2023-02-10T13:00:00Z,7807838071
2023-02-10T13:30:00Z,7563711706
2023-02-10T14:00:00Z,7697339783
2023-02-10T14:30:00Z,6676661243
2023-02-10T15:00:00Z,6152806082
2023-02-10T15:30:00Z,5288490935
2023-02-10T16:00:00Z,4949476622
2023-02-10T16:30:00Z,4580169744
2023-02-10T17:00:00Z,4187387633
2023-02-10T17:30:00Z,4066141347
2023-02-10T18:00:00Z,3796593483
2023-02-10T18:30:00Z,3895689220
2023-02-10T19:00:00Z,3973050760
2023-02-10T19:30:00Z,3758649842
2023-02-10T20:00:00Z,3755985107
2023-02-10T20:30:00Z,3936153844
2023-02-10T21:00:00Z,3969229008
2023-02-10T21:30:00Z,3660479151
2023-02-10T22:00:00Z,3603140682
2023-02-10T22:30:00Z,3440937730
2023-02-10T23:00:00Z,3091834430
2023-02-10T23:30:00Z,3556659070
2023-02-11T00:00:00Z,3139664429
2023-02-11T00:30:00Z,2926368121
2023-02-11T01:00:00Z,2880696191
2023-02-11T01:30:00Z,2707555328
2023-02-11T02:00:00Z,2867451194
2023-02-11T02:30:00Z,2640073728
2023-02-11T03:00:00Z,2627263883
2023-02-11T03:30:00Z,2684220553
2023-02-11T04:00:00Z,2598690843
2023-02-11T04:30:00Z,2647121431
2023-02-11T05:00:00Z,2290419344
2023-02-11T05:30:00Z,2122618708
2023-02-11T06:00:00Z,2154253977
2023-02-11T06:30:00Z,1974006007
2023-02-11T07:00:00Z,2053737384
2023-02-11T07:30:00Z,2003981393
2023-02-11T08:00:00Z,2429274695
2023-02-11T08:30:00Z,2285338486
2023-02-11T09:00:00Z,2611925092
2023-02-11T09:30:00Z,2585226719
2023-02-11T10:00:00Z,2790902694
2023-02-11T10:30:00Z,3076948878
2023-02-11T11:00:00Z,3017671650
2023-02-11T11:30:00Z,3289857735
2023-02-11T12:00:00Z,3057906556
2023-02-11T12:30:00Z,3306506217
2023-02-11T13:00:00Z,3427488537
2023-02-11T13:30:00Z,3626418854
2023-02-11T14:00:00Z,3669935069
2023-02-11T14:30:00Z,3680371715
2023-02-11T15:00:00Z,3552474951
2023-02-11T15:30:00Z,3809035363
2023-02-11T16:00:00Z,4110389263
2023-02-11T16:30:00Z,3668923430
2023-02-11T17:00:00Z,3468640801
2023-02-11T17:30:00Z,3201372303
2023-02-11T18:00:00Z,3372589698
2023-02-11T18:30:00Z,3100321762
2023-02-11T19:00:00Z,3168423891
2023-02-11T19:30:00Z,3444239543
2023-02-11T20:00:00Z,3255535640
2023-02-11T20:30:00Z,3180837025
2023-02-11T21:00:00Z,3341233628
2023-02-11T21:30:00Z,3191592374
2023-02-11T22:00:00Z,3177090403
2023-02-11T22:30:00Z,2977777619
2023-02-11T23:00:00Z,2838280085
2023-02-11T23:30:00Z,3282754369
2023-02-12T00:00:00Z,2673713738
2023-02-12T00:30:00Z,2550382566
2023-02-12T01:00:00Z,2353737567
2023-02-12T01:30:00Z,2218470771
2023-02-12T02:00:00Z,2424546588
2023-02-12T02:30:00Z,2225560290
2023-02-12T03:00:00Z,2199833538
2023-02-12T03:30:00Z,2092080385
2023-02-12T04:00:00Z,2293677350
2023-02-12T04:30:00Z,2027959700
2023-02-12T05:00:00Z,2106906144
2023-02-12T05:30:00Z,1997381231
2023-02-12T06:00:00Z,2150317559
2023-02-12T06:30:00Z,2177009580
2023-02-12T07:00:00Z,1969412169
2023-02-12T07:30:00Z,1978221973
2023-02-12T08:00:00Z,2156909014
2023-02-12T08:30:00Z,2148714054
2023-02-12T09:00:00Z,2384924714
2023-02-12T09:30:00Z,2472263822
2023-02-12T10:00:00Z,2688475532
2023-02-12T10:30:00Z,2749266002
2023-02-12T11:00:00Z,2934080680
2023-02-12T11:30:00Z,3048851750
