SystemId,threshold,maxTPR
tromso-gw5,8.974e-07,0.9236641221374046
teknobyen-gw1,7.932e-07,0.927536231884058
hoytek-gw2,1.862e-07,0.9666666666666668
bergen-gw3,1.677e-07,0.9152542372881356
trd-gw,7.59e-08,0.9212598425196852
ifi2-gw5,4.34e-08,0.9285714285714286
