SystemId,threshold,maxTPR,PPV,total
tromso-gw5,9.80234e-05,0.9402985074626866,0.5727272727272728,228
teknobyen-gw1,4.7839e-06,0.9432624113475178,0.6045454545454545,228
hoytek-gw2,0.0021666172,0.9666666666666668,0.3990825688073394,223
bergen-gw3,0.0191853642,0.9416666666666668,0.5207373271889401,227
trd-gw,0.0196304335,0.9606299212598424,0.5674418604651162,225
ifi2-gw5,0.0075377264,0.9603174603174603,0.5601851851851852,225
