SystemId,threshold,maxF1,PPV,total
tromso-gw5,5.58023e-05,0.7298050139275766,0.5822222222222222,228
teknobyen-gw1,0.00632204,0.7582417582417582,0.6188340807174888,228
hoytek-gw2,0.1782368546,0.6048780487804878,0.5391304347826087,226
bergen-gw3,0.0017716515,0.686046511627907,0.5267857142857143,227
trd-gw,0.1696843324,0.7378640776699029,0.6263736263736264,226
ifi2-gw5,0.0023033035,0.7122507122507122,0.5555555555555556,226
