SystemId,threshold,maxTPR,PPV,total
stangnes-gw,-0.653497,0.995049504950495,0.0567609544876923,21498
rodbergvn-gw2,-0.863138,1.0,0.0561248253376804,21490
tromso-fh-gw,-0.419897,1.0,0.0567660821477525,21409
tromso-gw5,-0.336467,1.0,0.0572068209964751,21401
teknobyen-gw1,-1.000491,1.0,0.0561531535800597,21133
narvik-gw3,-0.707136,1.0,0.0563742690058479,21487
hovedbygget-gw,-0.190213,1.0,0.0569950623089583,21600
teknobyen-gw2,-0.860527,1.0,0.0561202979341359,21364
ma2-gw,-0.997478,1.0,0.0571159283694627,21600
bergen-gw3,-0.514043,1.0,0.0568480300187617,21593
narvik-kv-gw,-0.275547,1.0,0.0563810777767328,21376
trd-gw,-0.620213,1.0,0.0561449020243665,21600
ifi2-gw5,-1.001608,1.0,0.057727579882228,21361
oslo-gw1,-0.720786,1.0,0.0566937973617737,21600
