SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.506494,0.995049504950495,0.0561347979892012,21498
rodbergvn-gw2,0.938335,1.0,0.0561039202905298,21490
tromso-fh-gw,2.962123,1.0,0.0592355117139334,21409
tromso-gw5,0.996066,1.0,0.0561398588323283,21401
teknobyen-gw1,0.100386,1.0,0.0562224225459031,21133
narvik-gw3,1.080939,1.0,0.0573345387067611,21487
hovedbygget-gw,2.747507,1.0,0.0561553074178751,21600
teknobyen-gw2,4.223617,1.0,0.0561755603488699,21364
ma2-gw,0.794559,1.0,0.0561345004863137,21600
bergen-gw3,1.412465,1.0,0.0562935438922433,21593
narvik-kv-gw,1.587522,1.0,0.0561513604645717,21376
trd-gw,9.710629,1.0,0.0565456750956424,21600
ifi2-gw5,-0.177877,1.0,0.056010864983843,21361
oslo-gw1,9.465414,1.0,0.0561579093689185,21600
