SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.43775,0.995049504950495,0.0561347979892012,21498
rodbergvn-gw2,0.538043,1.0,0.056096084912248,21490
tromso-fh-gw,2.152944,1.0,0.0562002807674309,21409
tromso-gw5,0.003548,1.0,0.0561319872873434,21401
teknobyen-gw1,-0.035892,1.0,0.0561026417952845,21133
narvik-gw3,0.686595,1.0,0.0562374574135436,21487
hovedbygget-gw,0.008262,1.0,0.0561241028015744,21600
teknobyen-gw2,3.252298,1.0,0.056207187763911,21364
ma2-gw,0.007571,1.0,0.0561111111111111,21600
bergen-gw3,-0.002948,1.0,0.056191756687839,21593
narvik-kv-gw,0.370924,1.0,0.0561066916237716,21376
trd-gw,0.055687,1.0,0.0561319007039644,21600
ifi2-gw5,-0.087168,1.0,0.056073890008908,21361
oslo-gw1,0.117901,1.0,0.0561267018616282,21600
