SystemId,threshold,maxTPR,PPV,total
stangnes-gw,1.470293,0.995049504950495,0.0561504795604804,21498
rodbergvn-gw2,2.459882,1.0,0.0560986964618249,21490
tromso-fh-gw,3.808104,1.0,0.0574558675788164,21409
tromso-gw5,2.757394,1.0,0.0567821852394685,21401
teknobyen-gw1,-0.160375,1.0,0.0560840550901604,21133
narvik-gw3,1.037583,1.0,0.0561013082545742,21487
hovedbygget-gw,3.110301,1.0,0.0561319007039644,21600
teknobyen-gw2,6.278742,1.0,0.0568850902184235,21364
ma2-gw,1.755415,1.0,0.0561111111111111,21600
bergen-gw3,-0.007014,1.0,0.0561813377833402,21593
narvik-kv-gw,0.707096,1.0,0.0561119430924747,21376
trd-gw,7.037381,1.0,0.0562282533054975,21600
ifi2-gw5,-0.232238,1.0,0.0559977525985579,21361
oslo-gw1,5.949032,1.0,0.0561137089680077,21600
