SystemId,threshold,maxTPR,PPV,total
stangnes-gw,0.439099,0.995049504950495,0.0561347979892012,21498
rodbergvn-gw2,0.541102,1.0,0.056096084912248,21490
tromso-fh-gw,1.866636,1.0,0.0562002807674309,21409
tromso-gw5,0.003596,1.0,0.0561319872873434,21401
teknobyen-gw1,0.23726,1.0,0.0562384319681078,21133
narvik-gw3,0.68149,1.0,0.0562374574135436,21487
hovedbygget-gw,0.010143,1.0,0.0561865467525844,21600
teknobyen-gw2,3.235968,1.0,0.0562045507858315,21364
ma2-gw,0.727798,1.0,0.0561111111111111,21600
bergen-gw3,0.781579,1.0,0.0563589862822599,21593
narvik-kv-gw,0.004846,1.0,0.0561277033985581,21376
trd-gw,3.657615,1.0,0.0562126060943369,21600
ifi2-gw5,-0.001077,1.0,0.0560502390102165,21361
oslo-gw1,0.185568,1.0,0.0564456035767511,21600
