SystemId,threshold,maxTPR,PPV,total
stangnes-gw,1.5035,0.995049504950495,0.0561374109761206,21498
rodbergvn-gw2,2.245408,1.0,0.0561457459696207,21490
tromso-fh-gw,3.221372,1.0,0.0571714190507925,21409
tromso-gw5,2.865039,1.0,0.0567446255610678,21401
teknobyen-gw1,1.061902,1.0,0.0562277580071174,21133
narvik-gw3,1.221991,1.0,0.0561274395640225,21487
hovedbygget-gw,3.284553,1.0,0.0561475030112109,21600
teknobyen-gw2,6.452518,1.0,0.0571156138259833,21364
ma2-gw,1.06082,1.0,0.0561189054035282,21600
bergen-gw3,1.849047,1.0,0.0564745352033922,21593
narvik-kv-gw,1.587825,1.0,0.0561461016155467,21376
trd-gw,9.525267,1.0,0.0561995734025781,21600
ifi2-gw5,-0.192084,1.0,0.0559951308581862,21361
oslo-gw1,10.798208,1.0,0.0561319007039644,21600
