SystemId,threshold,maxF1,PPV,total
stangnes-gw,0.585143,0.1950092421441774,0.2216386554621848,21498
rodbergvn-gw2,-0.024889,0.1138726138726138,0.0603737662207525,21490
tromso-fh-gw,-0.038956,0.1130044843049327,0.0598979183346677,21409
tromso-gw5,-0.005984,0.1165290078614787,0.061967508070064,21401
teknobyen-gw1,0.272679,0.3484132343011479,0.8716216216216216,21133
narvik-gw3,0.010596,0.1199376947040498,0.0738255033557047,21487
hovedbygget-gw,0.318277,0.1661054994388327,0.1074020319303338,21600
teknobyen-gw2,0.001983,0.111084191399152,0.0598876698014629,21364
ma2-gw,0.001529,0.1245089150800846,0.0685296074517631,21600
bergen-gw3,0.008582,0.1143818334735071,0.0718360447918867,21593
narvik-kv-gw,0.135129,0.1159328476401647,0.0618835597136899,21376
trd-gw,0.002226,0.112409347300564,0.0743603411513859,21600
ifi2-gw5,-0.024116,0.1081765557163531,0.0571811053738764,21361
oslo-gw1,0.000798,0.1190927709929454,0.0655751399214769,21600
