Time, Change, Value, Mean last 10 minutes
2022-10-14 09:32:00,0.017181818078266388,0.07859209712325073,0.06141027904498434
2022-10-14 10:40:00,0.015136102882807118,0.05323711763708727,0.06837322051989439
2022-10-14 11:24:00,0.016196403654438613,0.07428842108131091,0.0580920174268723
2022-10-18 08:08:00,0.015827432170576396,0.07157230826705484,0.05574487609647844
2022-10-18 08:12:00,0.017941832710632474,0.07744481439793877,0.05950298168730629
2022-10-18 10:37:00,0.016347814358947187,0.052110323535223844,0.06845813789417103
2022-10-19 06:56:00,0.015589324197625917,0.07266201787922984,0.05707269368160392
2022-10-19 10:41:00,0.015839595523902718,0.07681508944216994,0.060975493918267225
2022-10-19 10:42:00,0.016187955279811872,0.07717514641173781,0.06098719113192594
2022-10-19 11:15:00,0.017225549828156855,0.04777909272372516,0.06500464255188201
2022-10-19 11:16:00,0.021182357559544257,0.042243400861038075,0.06342575842058233
2022-10-19 11:23:00,0.01639791953358357,0.06935064252663718,0.05295272299305361
2022-10-19 11:24:00,0.01629691049861067,0.06928743295192268,0.052990522453312004
2022-10-19 11:25:00,0.025274757342946944,0.07974812643125279,0.05447336908830584
2022-10-19 11:26:00,0.017426435775888927,0.0742896204451056,0.05686318466921668
