Time, Change, Value, Mean last 10
2022-10-13 00:11:00,0.5355681601793343,5.891566444763356,5.355998284584022
2022-10-13 00:20:00,0.6394524707741587,4.8507624107465475,5.490214881520706
2022-10-13 00:21:00,0.5548448339026262,4.859185100761864,5.41402993466449
2022-10-13 00:45:00,0.5147294931922861,5.544340246851714,5.029610753659428
2022-10-13 00:46:00,0.6882928110841533,5.745538594379598,5.0572457832954445
2022-10-13 00:47:00,0.6513943327710114,5.764685554805961,5.11329122203495
2022-10-13 00:51:00,1.0244252861912297,4.354369801495755,5.378795087686985
2022-10-13 00:52:00,0.812899294986849,4.589261589761979,5.402160884748828
2022-10-13 01:06:00,0.5168230724474965,4.581923122968946,5.098746195416442
2022-10-13 01:12:00,0.5749252269866574,5.437160090925435,4.862234863938777
2022-10-13 01:13:00,0.5628047421083444,5.38111421833498,4.818309476226635
2022-10-13 01:19:00,0.5129529534084503,5.533829485222763,5.020876531814313
2022-10-13 01:23:00,0.6517314436698758,5.950530431147422,5.2987989874775465
2022-10-13 01:26:00,0.6144514374969887,4.839739440591199,5.454190878088188
2022-10-13 01:27:00,0.8985740428182183,4.58161345360717,5.480187496425389
2022-10-13 01:28:00,0.6104206151626714,4.8201790201329135,5.430599635295585
2022-10-13 01:33:00,0.7788714946861841,4.343572037195687,5.1224435318818715
2022-10-13 01:34:00,0.6687777607099274,4.354369801495755,5.023147562205683
2022-10-13 01:45:00,0.5874741118427051,5.539153175820635,4.95167906397793
2022-10-13 01:57:00,0.6640236279803826,5.695413980726696,5.031390352746313
2022-10-13 02:02:00,0.720665904735089,4.589247963292261,5.30991386802735
2022-10-13 02:37:00,0.7451022897698429,4.584985752251085,5.330088042020928
2022-10-13 02:38:00,0.7197372805693147,4.544790956224451,5.264528236793765
2022-10-13 02:59:00,0.5660036180284642,5.55565735242276,4.989653734394296
2022-10-13 03:08:00,0.5896722154563836,4.8412239124803875,5.430896127936771
2022-10-13 03:09:00,0.6200570490963448,4.821732957054242,5.441790006150587
2022-10-13 03:10:00,0.5050290856475783,4.857379427176077,5.362408512823655
2022-10-13 03:29:00,0.5644289567246732,5.683334668633548,5.118905711908875
2022-10-13 03:35:00,0.6306104263849539,4.738357234183713,5.368967660568667
2022-10-13 03:36:00,0.8834105367887393,4.550759449834791,5.43416998662353
2022-10-13 03:47:00,0.8720973152308158,5.816408870834698,4.944311555603882
2022-10-13 03:51:00,0.5298102964377467,4.589967949640582,5.1197782460783285
2022-10-13 04:02:00,0.8595984949389335,5.7462119168991,4.886613421960167
2022-10-13 04:03:00,0.6000784069536538,5.5194436446890975,4.919365237735444
2022-10-13 04:30:00,0.7804586422823183,5.815020916197946,5.034562273915627
2022-10-13 05:03:00,0.5438801333374643,5.8489808434949415,5.305100710157477
2022-10-13 05:04:00,0.5940600649682848,5.933425435229356,5.3393653702610715
2022-10-13 05:09:00,0.7392619528794837,4.841367930879232,5.580629883758716
2022-10-13 05:10:00,0.5181760301641543,5.064069278428169,5.582245308592324
2022-10-13 05:11:00,0.7056152113302563,4.841089550480247,5.546704761810504
2022-10-13 05:37:00,0.8062610532013572,5.947343998727617,5.14108294552626
2022-10-13 05:46:00,0.6337953469010262,4.855579092331294,5.4893744392323205
2022-10-13 06:25:00,0.6134805782691766,4.347024521531048,4.9605050998002245
2022-10-13 06:39:00,0.7903056022752457,5.528619044687958,4.7383134424127125
2022-10-13 06:40:00,1.1053097986131695,5.852870796877099,4.747560998263929
2022-10-13 06:41:00,1.0520939213127782,5.854630435513027,4.8025365142002485
2022-10-13 06:42:00,0.9545782938530465,5.887018745628849,4.932440451775802
2022-10-13 06:43:00,0.854461184036662,5.953781490291482,5.09932030625482
2022-10-13 06:44:00,0.6246912049964379,5.818160886535143,5.193469681538705
2022-10-13 06:51:00,0.5701052706363985,5.037924985084909,5.6080302557213075
2022-10-13 06:52:00,0.5669496893946571,4.97682832103952,5.543778010434177
2022-10-13 06:54:00,0.5236001941084325,4.817283713015088,5.34088390712352
2022-10-13 07:27:00,0.5569224525432981,4.586869687063353,5.143792139606651
2022-10-13 07:38:00,0.6676927809837183,4.555049817331791,5.222742598315509
2022-10-13 07:39:00,0.9126243590759682,4.340330715257051,5.252955074333019
2022-10-13 07:40:00,0.6688030451160696,4.530926571820336,5.199729616936406
2022-10-13 07:41:00,0.797258406701129,4.291934526957691,5.08919293365882
2022-10-13 08:00:00,0.6364953099254,5.377012560109711,4.740517250184311
2022-10-13 08:57:00,0.5215214174704093,4.345784396550257,4.867305814020666
2022-10-13 09:01:00,0.5402789280880693,5.252613533586878,4.712334605498809
2022-10-13 09:08:00,0.6086136492427974,4.343300425773982,4.951914075016779
2022-10-13 09:09:00,0.6005881403998661,4.344930554277871,4.945518694677737
2022-10-13 09:25:00,0.6825702528376407,5.324348944920267,4.641778692082626
2022-10-13 09:48:00,0.5549993487121645,5.333565999510557,4.778566650798393
2022-10-13 09:52:00,0.5181071016197372,5.42857054327299,4.910463441653253
2022-10-13 10:03:00,0.6831233575181326,4.5892895063507,5.272412863868833
2022-10-13 10:04:00,0.6419495243937439,4.588951852543538,5.230901376937282
2022-10-13 10:35:00,0.6753340114623754,5.816060753898544,5.1407267424361685
2022-10-13 10:36:00,0.6129060961265429,5.787303265907722,5.174397169781179
2022-10-13 10:37:00,0.5038707629308563,5.727033574044877,5.223162811114021
2022-10-13 10:40:00,0.5454022173766537,4.843240440800106,5.38864265817676
2022-10-13 11:00:00,0.5288047168277386,5.815020916197946,5.286216199370207
