Time, Change, Value, Mean of the last 10 minutes
2011-01-04 06:23:00,63.888888888888886,152,88.11111111111111
2011-01-04 19:48:00,57.33333333333334,190,132.66666666666666
2011-01-05 00:42:00,70.66666666666667,177,106.33333333333333
2011-01-05 00:43:00,85.22222222222223,191,105.77777777777777
2011-01-05 20:35:00,76.0,213,137.0
2011-01-05 20:36:00,52.44444444444446,193,140.55555555555554
2011-01-05 20:44:00,51.77777777777777,141,192.77777777777777
2011-01-06 04:02:00,62.0,166,104.0
2011-01-06 04:03:00,58.0,163,105.0
2011-01-06 09:04:00,50.22222222222223,182,131.77777777777777
2011-01-07 10:49:00,55.888888888888886,189,133.11111111111111
2011-01-07 22:59:00,64.44444444444446,65,129.44444444444446
2011-01-07 23:00:00,78.11111111111111,50,128.11111111111111
2011-01-07 23:01:00,80.33333333333333,41,121.33333333333333
2011-01-07 23:02:00,63.77777777777777,46,109.77777777777777
2011-01-08 22:59:00,51.333333333333336,104,52.666666666666664
2011-01-08 23:00:00,64.44444444444444,119,54.55555555555556
2011-01-08 23:01:00,63.44444444444444,124,60.55555555555556
2011-01-08 23:02:00,66.77777777777777,136,69.22222222222223
2011-01-08 23:03:00,80.88888888888889,158,77.11111111111111
2011-01-08 23:04:00,74.55555555555556,161,86.44444444444444
2011-01-09 20:53:00,104.33333333333334,263,158.66666666666666
2011-01-09 20:54:00,75.88888888888889,236,160.11111111111111
2011-01-09 20:56:00,78.77777777777777,255,176.22222222222223
2011-01-09 20:58:00,56.0,248,192.0
2011-01-09 21:00:00,60.111111111111114,267,206.88888888888889
2011-01-09 21:02:00,63.22222222222223,168,231.22222222222223
2011-01-09 21:03:00,84.22222222222223,155,239.22222222222223
2011-01-09 21:04:00,73.66666666666666,155,228.66666666666666
2011-01-09 21:05:00,90.66666666666666,129,219.66666666666666
2011-01-09 21:06:00,82.33333333333334,132,214.33333333333334
2011-01-09 21:07:00,55.33333333333334,145,200.33333333333334
2011-01-09 21:35:00,53.77777777777777,65,118.77777777777777
2011-01-09 21:42:00,67.88888888888889,167,99.11111111111111
2011-01-09 21:43:00,66.44444444444444,166,99.55555555555556
2011-01-09 21:44:00,61.77777777777777,169,107.22222222222223
2011-01-09 22:59:00,86.0,59,145.0
2011-01-09 23:00:00,90.55555555555554,51,141.55555555555554
2011-01-09 23:01:00,77.77777777777777,54,131.77777777777777
2011-01-09 23:02:00,70.22222222222223,53,123.22222222222223
2011-01-09 23:03:00,61.0,50,111.0
2011-01-09 23:04:00,63.77777777777777,35,98.77777777777777
