SystemId,PPV,total
tromso-gw5,0.9988137603795967,1235546
teknobyen-gw1,0.9984126984126984,637447
hoytek-gw2,0.9999765000323124,643498
bergen-gw3,1.0,1738997
trd-gw,0.9649122807017544,3277158
ifi2-gw5,0.99581589958159,3076079
