SystemId,PPV.total
tromso-gw5,0.7910447761194029,1235546
teknobyen-gw1,0.9928057553956835,637447
hoytek-gw2,0.9506172839506173,643498
bergen-gw3,0.8,1738997
trd-gw,0.4774193548387097,3277158
ifi2-gw5,0.14906103286384975,3076079
