Deviation score, Time, Value, Mean, Variance
16.81813319536382,2022-10-13 03:38:47.821000+00:00,154286.0,37813.55029195226,6925.408923515671
16.462444191997875,2022-10-13 10:04:30.281000+00:00,960368.0,488169.5314785625,28683.375506959375
17.189171769613086,2022-10-13 10:04:32.292000+00:00,981213.0,488169.5314785625,28683.375506959375
17.283686447613317,2022-10-13 10:04:34.302000+00:00,983924.0,488169.5314785625,28683.375506959375
15.429650823838942,2022-10-13 10:04:36.311000+00:00,930744.0,488169.5314785625,28683.375506959375
16.38347859049639,2022-10-13 10:04:38.326000+00:00,958103.0,488169.5314785625,28683.375506959375
16.919224461698736,2022-10-13 10:04:40.385000+00:00,973470.0,488169.5314785625,28683.375506959375
15.641655160585314,2022-10-13 10:04:42.396000+00:00,936825.0,488169.5314785625,28683.375506959375
15.45507918449355,2022-10-13 11:32:32.500000+00:00,958618.0,535839.7586944225,27355.294415428227
15.691815806722978,2022-10-13 11:32:36.522000+00:00,965094.0,535839.7586944225,27355.294415428227
16.78641321259715,2022-10-13 11:52:31.998000+00:00,996085.0,511383.6702156323,28874.62161485634
16.660039262189343,2022-10-13 11:52:36.023000+00:00,992436.0,511383.6702156323,28874.62161485634
16.53404626915465,2022-10-13 11:52:38.036000+00:00,988798.0,511383.6702156323,28874.62161485634
16.168188661013225,2022-10-13 11:52:40.049000+00:00,978234.0,511383.6702156323,28874.62161485634

16.109216467615614,2022-10-14 00:21:58.386000+00:00,160148.0,38710.97174067388,7538.35721951165
17.559644248217197,2022-10-14 00:54:00.913000+00:00,170211.0,36087.11031230077,7638.189463964603
19.973947538223886,2022-10-14 01:10:01.869000+00:00,148074.0,38504.21606640125,5485.63491137225
15.21005048305826,2022-10-14 01:10:03.890000+00:00,121941.0,38504.21606640125,5485.63491137225
22.208533159499595,2022-10-14 01:39:05.034000+00:00,171877.0,37592.70545211083,6046.5179570155315
17.89709369084289,2022-10-14 01:42:26.505000+00:00,182349.0,38034.730666919924,8063.558912189132
17.80284250370874,2022-10-14 01:42:56.723000+00:00,181589.0,38034.730666919924,8063.558912189132
20.03039490279248,2022-10-14 01:42:58.735000+00:00,199551.0,38034.730666919924,8063.558912189132
17.15459644287044,2022-10-14 04:32:41.793000+00:00,127375.0,38640.01661438533,5172.665161848999
26.349469590816224,2022-10-14 04:32:51.858000+00:00,174937.0,38640.01661438533,5172.665161848999

15.033632767720414,2022-10-16 03:45:01.265000+00:00,121963.0,35799.64971094311,5731.372557806735

16.65102180708425,2022-10-17 01:06:33.622000+00:00,139048.0,45545.69372886897,5615.409513868397
16.142599403883022,2022-10-17 01:06:35.631000+00:00,136193.0,45545.69372886897,5615.409513868397
16.995431238885008,2022-10-17 01:06:45.699000+00:00,140982.0,45545.69372886897,5615.409513868397
