Deviation score, Time, Value, Mean, Variance
15.991876245240356,2022-10-13 11:17:35.559000+00:00,575143.0,302151.9977126425,17070.604980988865

17.547516377615672,2022-10-15 10:53:14.530000+00:00,374024.0,80836.71912624029,16708.192462368144
16.343496251242964,2022-10-15 10:53:16.542000+00:00,353907.0,80836.71912624029,16708.192462368144

16.15900313699513,2022-10-16 10:46:00.568000+00:00,291555.0,84307.20078499845,12825.531219838642
23.91883766502274,2022-10-16 10:46:02.580000+00:00,391079.0,84307.20078499845,12825.531219838642
21.22943639120681,2022-10-16 10:46:04.591000+00:00,356586.0,84307.20078499845,12825.531219838642

18.413577036323932,2022-10-17 01:17:42.780000+00:00,110991.0,35499.042358664825,4099.7986155766675
17.764276851215797,2022-10-17 01:17:44.789000+00:00,108329.0,35499.042358664825,4099.7986155766675
18.46309166351287,2022-10-17 01:17:46.802000+00:00,111194.0,35499.042358664825,4099.7986155766675
