Deviation score, Time, Value, Mean, Variance
15.282770886142426,2022-10-14 04:23:33.602000+00:00,1959378.0,194648.57674287102,115471.82355899141
17.400231167481866,2022-10-14 04:23:35.617000+00:00,2203885.0,194648.57674287102,115471.82355899141
15.193112650211727,2022-10-14 04:23:37.637000+00:00,1949025.0,194648.57674287102,115471.82355899141
15.552429743518074,2022-10-14 04:23:39.652000+00:00,1990516.0,194648.57674287102,115471.82355899141
16.490216960021836,2022-10-14 04:23:41.667000+00:00,2098804.0,194648.57674287102,115471.82355899141
15.337736676102065,2022-10-14 04:23:45.702000+00:00,1965725.0,194648.57674287102,115471.82355899141
15.471630811688323,2022-10-14 04:23:47.717000+00:00,1981186.0,194648.57674287102,115471.82355899141
15.483460537398873,2022-10-14 04:23:49.774000+00:00,1982552.0,194648.57674287102,115471.82355899141
16.74608024414938,2022-10-14 04:23:51.797000+00:00,2128349.0,194648.57674287102,115471.82355899141
15.251022881417038,2022-10-14 04:23:59.867000+00:00,1955712.0,194648.57674287102,115471.82355899141
15.676795881526303,2022-10-14 04:24:01.887000+00:00,1898134.0,194240.21381317062,108688.90550490074
