SystemId,PPV,total
stangnes-gw,0.2870182555780933,3582
rodbergvn-gw2,0.29506437768240346,3581
narvik-gw4,0.3709896068685043,3600
tromso-fh-gw,0.4323651452282158,3568
tromso-gw5,0.3623871221044366,3567
teknobyen-gw1,0.4473684210526316,3514
narvik-gw3,0.38085702843412095,3581
hovedbygget-gw,0.3487827715355805,3600
hoytek-gw2,0.4845360824742268,3600
teknobyen-gw2,0.35458409228901033,3558
ma2-gw,0.3050224581461821,3600
bergen-gw3,0.35550935550935553,3600
narvik-kv-gw,0.35855855855855856,3563
trd-gw,0.42984014209591476,3600
ifi2-gw5,0.30434782608695654,3564
oslo-gw1,0.3047530288909599,3600
