SystemId,PPV,total
stangnes-gw,0.26229508196721313,120
rodbergvn-gw2,0.3018867924528302,120
narvik-gw4,0.3111111111111111,120
tromso-fh-gw,0.3333333333333333,120
tromso-gw5,0.28888888888888886,120
teknobyen-gw1,0.3229166666666667,120
narvik-gw3,0.16981132075471697,120
hovedbygget-gw,0.23333333333333334,120
hoytek-gw2,0.0975609756097561,120
teknobyen-gw2,0.2692307692307692,120
ma2-gw,0.4603174603174603,120
bergen-gw3,0.5151515151515151,120
narvik-kv-gw,0.31746031746031744,120
trd-gw,0.375,120
ifi2-gw5,0.38461538461538464,120
oslo-gw1,0.08823529411764706,120
