SystemId,PPV,total
stangnes-gw,0.3269230769230769,120
rodbergvn-gw2,0.32894736842105265,120
narvik-gw4,0.3,120
tromso-fh-gw,0.29310344827586204,120
tromso-gw5,0.4230769230769231,120
teknobyen-gw1,0.31,120
narvik-gw3,0.3076923076923077,120
hovedbygget-gw,0.5294117647058824,120
hoytek-gw2,0.2037037037037037,120
teknobyen-gw2,0.3181818181818182,120
ma2-gw,0.4444444444444444,120
bergen-gw3,0.4642857142857143,120
narvik-kv-gw,0.3137254901960784,120
trd-gw,0.3076923076923077,120
ifi2-gw5,0.0,120
oslo-gw1,0.2222222222222222,120
