SystemId,PPV,total
narvik-gw4,0.0,25
tromso-fh-gw,0.0,170
tromso-gw5,0.04225352112676056,170
teknobyen-gw1,0.045454545454545456,170
narvik-gw3,0.0,170
hovedbygget-gw,0.0,170
hoytek-gw2,0.03076923076923077,170
teknobyen-gw2,0.0,170
ma2-gw,0.0,170
bergen-gw3,0.06666666666666667,170
narvik-kv-gw,0.0,170
trd-gw,0.06060606060606061,170
ifi2-gw5,0.05154639175257732,170
oslo-gw1,0.0,170
